x,y,answer
86,102,1
2,22,1
26,53,1
57,46,-1
2,-8,-1
10,0,-1
76,93,1
68,70,-1
66,64,-1
24,55,1
93,127,1
90,94,-1
77,73,-1
54,80,1
98,94,-1
79,71,-1
58,82,1
71,63,-1
76,107,1
71,94,1
19,19,-1
21,45,1
34,39,-1
53,84,1
84,99,1
82,108,1
64,98,1
89,116,1
35,33,-1
6,-6,-1
10,41,1
23,55,1
56,72,1
63,78,1
61,64,-1
5,9,-1
39,29,-1
17,19,-1
82,81,-1
52,85,1
75,104,1
74,76,-1
36,57,1
32,62,1
28,26,-1
52,53,-1
48,78,1
43,69,1
49,35,-1
75,96,1
21,11,-1
98,103,-1
20,42,1
18,4,-1
15,1,-1
86,109,1
10,15,-1
94,109,1
84,70,-1
72,91,1
97,96,-1
88,103,1
41,73,1
35,57,1
46,75,1
8,-6,-1
38,60,1
84,79,-1
88,107,1
38,35,-1
91,109,1
25,28,-1
70,65,-1
8,34,1
32,37,-1
5,-8,-1
21,43,1
0,2,-1
1,-9,-1
4,1,-1
14,43,1
50,74,1
13,35,1
95,95,-1
70,75,-1
64,90,1
83,80,-1
43,70,1
82,83,-1
97,131,1
1,19,1
27,19,-1
43,33,-1
15,42,1
23,55,1
82,76,-1
76,74,-1
38,67,1
43,71,1
5,0,-1
7,33,1
27,56,1
24,14,-1
30,29,-1
37,38,-1
22,20,-1
10,28,1
72,97,1
33,36,-1
29,32,-1
96,99,-1
38,54,1
91,91,-1
95,83,-1
84,105,1
2,4,-1
86,101,1
3,36,1
79,69,-1
24,46,1
20,35,1
16,17,-1
87,91,-1
87,83,-1
11,40,1
20,48,1
73,62,-1
41,30,-1
88,122,1
6,29,1
54,47,-1
49,66,1
79,95,1
79,70,-1
17,42,1
39,44,-1
42,63,1
31,36,-1
90,111,1
40,44,-1
55,46,-1
78,72,-1
78,64,-1
25,40,1
63,86,1
14,37,1
18,35,1
23,20,-1
98,129,1
58,89,1
77,67,-1
84,88,-1
81,112,1
22,50,1
39,57,1
83,109,1
53,46,-1
31,23,-1
1,19,1
84,106,1
93,85,-1
32,35,-1
82,70,-1
86,73,-1
73,94,1
77,110,1
10,4,-1
54,79,1
67,66,-1
61,81,1
8,25,1
62,79,1
37,61,1
57,84,1
76,81,-1
81,79,-1
18,21,-1
2,17,1
94,98,-1
72,66,-1
28,62,1
88,115,1
6,-4,-1
19,7,-1
71,69,-1
31,20,-1
64,97,1
47,50,-1
91,107,1
96,115,1
15,4,-1
80,73,-1
29,45,1
80,71,-1
50,70,1
3,-7,-1
23,39,1
81,112,1
95,82,-1
25,11,-1
